"col","Freq"
"EFD",0.00102945834653152
"EFHVA",0.00063351282863478
"EFO",0.0190053848590434
"EFRA",0.000475134621476085
"ETAC",0.00174216027874564
"ETAX",0.000791891035793475
"ETBO",0.00356350966107064
"ETCE",0.000871080139372822
"ETCM",0.00213810579664238
"ETCO",7.91891035793475e-05
"ETDB",0.00174216027874564
"ETDO",0.00514729173265759
"ETDS",7.91891035793475e-05
"ETFA",0.000158378207158695
"ETHV",0.0031675641431739
"ETLT",0.000237567310738042
"ETLV",0.00031675641431739
"ETNEA",7.91891035793475e-05
"ETNT",0.00277161862527716
"ETO",0.00791891035793475
"ETPI",0.0015045929680076
"ETRA",0.00522648083623693
"ETSA",0.00142540386442825
"ETSE",0.000712701932214127
"ETTB",0.000158378207158695
"ETTM",7.91891035793475e-05
"ETTR",0.000475134621476085
"ETVC",0.00657269559708584
"ETVE",0.000158378207158695
"ETWA",0.000791891035793475
"ETWS",0.00182134938232499
"MFDV",0.00593918276845106
"MFESA",7.91891035793475e-05
"MFO",0.00388026607538803
"MFPI",0.000475134621476085
"MFS",7.91891035793475e-05
"MFSAN",0.00269242952169781
"MFSH",0.0110072853975293
"MFTO",0.00182134938232499
"MFUI",0.00277161862527716
"MFUIR",0.00245486221095977
"MFUS",0.00205891669306303
"MFVIS",0.00158378207158695
"MFWEA",0.00102945834653152
"MTAFR",0.0692112765283497
"MTCL",7.91891035793475e-05
"MTDV",0.111735825150459
"MTEC",0.00031675641431739
"MTESA",0.00213810579664238
"MTGD",0.057887234716503
"MTIE",0.00490972442191954
"MTNOA",0.0429204941400063
"MTO",0.0325467215711118
"MTPI",0.00562242635413367
"MTPOL",0.00395945517896737
"MTPR",0.00292999683243586
"MTPU",0.000791891035793475
"MTS",0.00126702565726956
"MTSAN",0.0928888184985746
"MTTD",0.00031675641431739
"MTTO",0.00736458663287932
"MTTP",0.0191637630662021
"MTUI",0.0488596769084574
"MTUIR",0.0344472600570162
"MTUS",0.028032942667089
"MTVIS",0.00498891352549889
"MTWEA",0.00570161545771302
"MTWR",7.91891035793475e-05
"MUIE",7.91891035793475e-05
"MUIS",7.91891035793475e-05
"MUO",7.91891035793475e-05
"MUWEA",7.91891035793475e-05
"NTGD",7.91891035793475e-05
"PFPD",7.91891035793475e-05
"PTNT",7.91891035793475e-05
"PTNTF",0.00253405131453912
"PTO",0.0078397212543554
"PTOV",0.00562242635413367
"PTPD",0.000554323725055432
"PTSE",0.00102945834653152
"PTSW",0.000871080139372822
"PTW",0.00142540386442825
"SFAE",0.000395945517896737
"SFAP",0.000475134621476085
"SFDP",0.00435540069686411
"SFO",0.0031675641431739
"SFPOL",0.000237567310738042
"STAE",0.00253405131453912
"STAP",0.00863161229014888
"STDP",0.0749128919860627
"STO",0.0550364269876465
"STSA",0.000158378207158695
"STSP",7.91891035793475e-05
"SUG",7.91891035793475e-05
"SUO",7.91891035793475e-05
"SUPOL",7.91891035793475e-05
"TFCNO",0.0141748495407032
"TFO",0.00451377890402281
"TFOI",0.00356350966107064
"TFPD",0.0112448527082673
"TFPI",7.91891035793475e-05
"TTLF",7.91891035793475e-05
"TTO",0.0273202407348749
"TTOI",0.0115616091225847
"TTPD",0.0289832119100412
"TTPI",0.00205891669306303
"TTSUP",7.91891035793475e-05
"TTSW",0.0179759265125119
"TTUS",0.0220937598986379
"XXXXX",0.000712701932214127
