"col","Freq"
"EFB",0.0206232233065962
"EFCAN",3.62128591862971e-05
"EFD",0.0408481051621431
"EFHVA",0.0224700791250973
"EFO",0.212569483423564
"EFP",0.020478371869851
"EFRA",0.012312372123341
"MFDV",0.0691846674754205
"MFESA",0.00226330369914357
"MFFD",0.000108638577558891
"MFLD",3.62128591862971e-05
"MFO",0.0211483097647975
"MFPI",0.00427311738398305
"MFPR",0.00074236361331909
"MFS",0.00117691792355465
"MFSAN",0.0266164515019283
"MFSH",0.0714841840337504
"MFTO",0.0224700791250973
"MFUI",0.0246428506762751
"MFUIR",0.0129460971591012
"MFUS",0.0498107878107516
"MFVIS",0.026326748628438
"MFWEA",0.0167665538032555
"MTDV",1.81064295931485e-05
"MTIE",1.81064295931485e-05
"MTNOA",3.62128591862971e-05
"MTO",1.81064295931485e-05
"MTSAN",3.62128591862971e-05
"MTUS",1.81064295931485e-05
"MTVIS",1.81064295931485e-05
"MUIE",1.81064295931485e-05
"MUIS",1.81064295931485e-05
"MUO",1.81064295931485e-05
"PFO",0.000235383584710931
"PFPD",0.000181064295931485
"PREL",1.81064295931485e-05
"SFAE",0.00199170725524634
"SFAP",0.00454471382788028
"SFDP",0.0362852849046696
"SFO",0.0250230856977313
"SFPOL",0.00331347661554618
"SFSA",0.000470767169421862
"SFSP",1.81064295931485e-05
"SRO",1.81064295931485e-05
"STO",1.81064295931485e-05
"TFCNO",0.0946966267721668
"TFLF",9.05321479657426e-05
"TFO",0.0589364283256985
"TFOI",0.023646997048652
"TFPD",0.0673559180865125
"TFPI",0.00356696662985026
"TTPD",3.62128591862971e-05
